fcl_hz,full_max_real,fast_block_max_real,schur_slow_max_real
1.000000000000000000e+02,-5.074163526868106899e+00,-7.267504804494533843e+00,-2.543839921204015297e+01
1.262900000000000063e+02,-6.349494057811669201e+00,-9.874475945465736260e+00,-2.543839921204014232e+01
1.500000000000000000e+02,-7.871071694832613375e+00,-1.214078445220748570e+01,-2.543839921204014587e+01
2.000000000000000000e+02,-1.129042397947188014e+01,-1.637594890831988792e+01,-2.543839921204014587e+01
2.445200000000000102e+02,-1.402257317699859129e+01,-1.940331780650726046e+01,-2.543839921204014587e+01
3.000000000000000000e+02,-1.673939724009235164e+01,-2.226752958904467405e+01,-2.543839921204014587e+01
4.000000000000000000e+02,-1.993810104322160015e+01,-2.557515353129041458e+01,-2.543839921204014587e+01
7.000000000000000000e+02,3.045704207869357560e+01,2.839226480715655043e+01,-2.543839921204014587e+01
9.000000000000000000e+02,1.684243106946164517e+02,1.660669709794569258e+02,-2.543839921204014587e+01
1.000000000000000000e+03,2.346122680493542703e+02,2.320242594181412983e+02,-2.543839921204014587e+01
