kp_pu,period_s
2.011442642946876525e-01,1.611135899397800886e-01
2.011592550664869361e-01,1.611222039381134119e-01
2.012206107399338029e-01,1.611574786571659257e-01
2.013260615045496527e-01,1.612181318134144337e-01
2.014787498064269655e-01,1.613060192657777558e-01
2.016823858190426311e-01,1.614233359943201274e-01
2.019414804134264385e-01,1.615727995216046375e-01
2.022614906430258708e-01,1.617576931851323341e-01
2.026491954423286224e-01,1.619821359268564520e-01
2.031131495510531959e-01,1.622513554070931507e-01
2.036644017861040101e-01,1.625721438991431234e-01
2.046885031140200928e-01,1.631707760119067152e-01
2.050930319233243149e-01,1.634082184312345976e-01
2.055351537924774152e-01,1.636683706615403855e-01
2.060197262304809818e-01,1.639542837719736301e-01
2.065528549327078356e-01,1.642698044765190102e-01
2.071423916298197887e-01,1.646198948106678550e-01
2.077987199093906390e-01,1.650111377118523293e-01
2.085360634364650245e-01,1.654525801416228126e-01
2.093748155608879669e-01,1.659572373699403358e-01
2.103460755986200359e-01,1.665450275901861343e-01
2.115016512403985471e-01,1.672492558638659643e-01
2.129406924005866897e-01,1.681339149437225677e-01
2.149087172995408634e-01,1.693581586178731224e-01
2.154213591095214264e-01,1.696798857160174701e-01
2.160042802832328468e-01,1.700471807793496326e-01
2.166902722636630529e-01,1.704814457398883543e-01
2.175500832615463176e-01,1.710289010695377476e-01
2.188182769729674348e-01,1.718429570663944916e-01
2.195710372163465762e-01,1.723299646035906241e-01
2.203365652465701374e-01,1.728282195707440683e-01
2.211147669482722011e-01,1.733378790095323196e-01
2.219052502076093725e-01,1.738589121143767069e-01
2.227076151157519335e-01,1.743912876845223892e-01
2.235214562470616284e-01,1.749349754055729289e-01
2.243463645321465694e-01,1.754899470451120880e-01
2.251819287523431634e-01,1.760561774846725047e-01
2.260277377189440495e-01,1.766336459895529731e-01
2.268833818886782094e-01,1.772223370623225713e-01
2.277484535239112373e-01,1.778222414507029392e-01
2.286225490053896969e-01,1.784333569832993460e-01
2.295052691574551162e-01,1.790556893375889469e-01
2.303962201019507661e-01,1.796892525951208075e-01
2.312950137939620010e-01,1.803340699591424734e-01
2.322012681128588218e-01,1.809901741271424114e-01
2.331146077407747486e-01,1.816576076705318510e-01
2.340346628958793196e-01,1.823364233244716970e-01
2.349610707968545764e-01,1.830266843291383783e-01
2.358934737735502163e-01,1.837284643781916527e-01
2.368315201489106792e-01,1.844418478398911487e-01
2.377748631220387709e-01,1.851669298672226349e-01
2.387231604481687974e-01,1.859038161805392775e-01
2.396760737550708287e-01,1.866526233164512438e-01
2.406332680313902905e-01,1.874134782281726697e-01
2.415944114516799524e-01,1.881865186154714209e-01
2.425591729631065008e-01,1.889718922853860505e-01
2.435272232010742277e-01,1.897697575943440851e-01
2.444982332224514554e-01,1.905802828734930177e-01
2.454718738588044236e-01,1.914036466271819559e-01
2.464478148762873078e-01,1.922400372674000213e-01
2.474257243737046086e-01,1.930896528426845338e-01
2.484052670934401297e-01,1.939527012683062990e-01
2.493861065329252280e-01,1.948293999897083573e-01
2.503679000884733719e-01,1.957199757843644805e-01
2.513503017450631760e-01,1.966246648190129731e-01
2.523329608443486416e-01,1.975437127598034526e-01
2.533155190446098604e-01,1.984773740958754307e-01
2.542976133510904124e-01,1.994259126011194705e-01
2.552788728788559780e-01,2.003896012379119407e-01
2.562589185603167397e-01,2.013687216932364132e-01
2.572373638754024694e-01,2.023635643587848310e-01
2.582138128737650473e-01,2.033744290525298926e-01
2.591878599636129876e-01,2.044016235146985105e-01
2.601590897003389080e-01,2.054454647778061471e-01
2.611270765098094859e-01,2.065062781828207183e-01
2.620913832416998934e-01,2.075843974200158870e-01
2.630515593705340383e-01,2.086801636939468185e-01
2.640071456190022370e-01,2.097939276816822018e-01
2.649576669423300279e-01,2.109260472061623426e-01
2.659026359627634228e-01,2.120768876901894806e-01
2.668415519576555761e-01,2.132468221086315230e-01
2.677738990096801830e-01,2.144362302931153985e-01
2.686991481460467845e-01,2.156454990784199000e-01
2.696167524262336745e-01,2.168750204767581069e-01
2.705261534111601529e-01,2.181251940420348145e-01
2.714267728898150378e-01,2.193964235231291027e-01
2.723180207000865938e-01,2.206891174926648713e-01
2.731992883375332637e-01,2.220036884862019166e-01
2.740699483285147231e-01,2.233405508677575313e-01
2.749293639328170835e-01,2.247001233663596942e-01
2.757768753853883648e-01,2.260828243013282834e-01
2.766118118861305430e-01,2.274890724980835610e-01
2.774334859044244594e-01,2.289192870722089324e-01
2.782411939789877220e-01,2.303738829786958764e-01
2.790342204941144710e-01,2.318532729494909295e-01
2.798118339166102975e-01,2.333578643935884933e-01
2.805732971908819207e-01,2.348880596090522077e-01
2.813178544349542731e-01,2.364442486379433050e-01
2.820447471327059419e-01,2.380268161256383908e-01
2.827532085461009204e-01,2.396361345900805129e-01
2.834424668013882376e-01,2.412725639481110018e-01
2.841117490572491189e-01,2.429364477218889096e-01
2.847602797607274305e-01,2.446281160504912289e-01
2.853872933964181069e-01,2.463478807848841767e-01
2.859920224386873211e-01,2.480960355381233162e-01
2.865737166094733390e-01,2.498728585790447321e-01
2.871316336847121176e-01,2.516785959785438620e-01
2.876650537142828035e-01,2.535134843376186664e-01
2.881732754576288857e-01,2.553777369245766593e-01
2.886556122327484375e-01,2.572715450662561576e-01
2.891114192587538323e-01,2.591950833847260216e-01
2.895400713887885114e-01,2.611485115673685131e-01
2.899409816798239614e-01,2.631319612153968923e-01
2.903135912418893794e-01,2.651455664956474667e-01
2.906573862656633422e-01,2.671894482567328533e-01
